                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.368,                 2.2523,                 1.6035,                0.64847,                0.56005,                0.60806,                0.39054,                 1.3497,                   1.56,                 1.5472,                0.07012,              0.0033201,              0.0033201
                      1,                  1.189,                 1.2304,                 1.3964,                0.49222,                0.37408,                0.33354,                0.19018,                 1.6841,                 2.8556,                 2.1482,               0.039856,              0.0063899,              0.0063899
                      2,                 1.2091,                   1.16,                 1.4159,                0.58579,                0.57965,                 0.5748,                0.35075,                 1.4248,                 1.5748,                 1.6484,              0.0093286,              0.0091958,              0.0091958
                      3,                 1.2449,                 1.1616,                 1.4448,                0.72527,                0.64484,                0.69989,                0.43168,                 1.3997,                 1.2928,                 1.6732,               0.008812,               0.008812,               0.008812
                      4,                 1.2269,                 1.1159,                  1.434,                0.87764,                0.78258,                 0.8658,                0.57221,                 1.2324,                0.86071,                  1.474,               0.008812,               0.008812,               0.008812
                      5,                 1.1802,                 1.0256,                 1.3883,                0.87733,                0.82838,                0.89632,                0.61912,                  1.153,                0.82373,                 1.3981,               0.008416,               0.008416,               0.008416
                      6,                 1.1498,                0.96336,                 1.3683,                0.89392,                0.82946,                 0.9203,                 0.6492,                  1.112,                0.72878,                  1.356,                0.00802,                0.00802,                0.00802
                      7,                 1.1122,                0.90643,                 1.3431,                0.89783,                0.83966,                0.92764,                0.66103,                 1.0973,                0.70879,                 1.3446,               0.007624,               0.007624,               0.007624
                      8,                 1.0873,                0.84519,                 1.3219,                0.87199,                0.86999,                0.92711,                0.66445,                 1.0721,                0.71236,                 1.3186,               0.007228,               0.007228,               0.007228
                      9,                 1.0589,                0.80714,                 1.3049,                0.90833,                0.86336,                0.93573,                 0.6797,                 1.0561,                 0.6861,                 1.2832,               0.006832,               0.006832,               0.006832
                     10,                 1.0227,                0.75636,                 1.2683,                0.90921,                0.86847,                0.93919,                0.68828,                 1.0374,                0.63291,                 1.2693,               0.006436,               0.006436,               0.006436
                     11,                 1.0019,                0.72789,                 1.2526,                0.92761,                 0.9051,                 0.9594,                 0.7174,                0.97829,                0.58121,                 1.2146,                0.00604,                0.00604,                0.00604
                     12,                 0.9802,                0.69264,                 1.2361,                0.92165,                0.91745,                0.95993,                0.73049,                0.97637,                0.56469,                 1.2247,               0.005644,               0.005644,               0.005644
                     13,                0.96718,                0.67699,                  1.229,                0.91825,                0.92849,                0.96452,                0.73322,                 0.9646,                0.53357,                 1.2145,               0.005248,               0.005248,               0.005248
                     14,                0.93928,                0.64154,                 1.2176,                0.94062,                0.92355,                0.96931,                0.74801,                0.94238,                0.51089,                 1.1984,               0.004852,               0.004852,               0.004852
                     15,                0.94336,                0.56953,                 1.2372,                0.94023,                0.93189,                0.97119,                0.74085,                0.96462,                0.52922,                 1.2042,               0.004456,               0.004456,               0.004456
                     16,                0.92197,                 0.5482,                 1.2246,                0.92754,                0.91959,                0.96333,                 0.7468,                0.94457,                0.54111,                 1.1964,                0.00406,                0.00406,                0.00406
                     17,                0.89407,                0.51573,                 1.2004,                0.94429,                0.94248,                0.97315,                0.75606,                0.94186,                0.49144,                 1.1909,               0.003664,               0.003664,               0.003664
                     18,                0.88396,                 0.5007,                 1.1959,                0.94298,                0.94262,                0.97766,                0.76431,                   0.93,                0.48215,                 1.1637,               0.003268,               0.003268,               0.003268
                     19,                0.86265,                0.47911,                 1.1739,                0.94329,                0.94073,                0.97365,                0.76882,                0.90923,                0.48885,                 1.1581,               0.002872,               0.002872,               0.002872
                     20,                0.83399,                0.45112,                 1.1521,                0.95216,                0.93045,                0.97298,                0.77156,                0.91079,                0.48237,                 1.1516,               0.002476,               0.002476,               0.002476
                     21,                0.80501,                0.43094,                 1.1274,                0.95575,                0.95547,                 0.9811,                0.78677,                0.86965,                0.42834,                 1.1224,                0.00208,                0.00208,                0.00208
                     22,                0.78497,                0.40097,                  1.111,                0.94528,                0.95993,                0.98219,                0.80176,                0.84439,                0.41395,                 1.1019,               0.001684,               0.001684,               0.001684
                     23,                0.76939,                0.38874,                 1.1031,                0.96581,                0.94997,                0.98071,                0.80738,                0.83104,                0.40048,                 1.0968,               0.001288,               0.001288,               0.001288
                     24,                0.73731,                0.37738,                 1.0864,                0.96617,                0.96109,                0.98406,                0.80961,                0.83434,                0.38567,                 1.0995,               0.000892,               0.000892,               0.000892
